,estimated_frequency
Strep_C10042,0.02857142857142857
Strep_C100430,0.014285714285714285
Strep_C100431,0.007142857142857143
Strep_C100432,0.007142857142857143
Strep_C100433,0.007142857142857143
Strep_C100434,0.007142857142857143
Strep_C100435,0.007142857142857143
Strep_C100436,0.05
Strep_C100437,0.007142857142857143
Strep_C100438,0.007142857142857143
Strep_C100439,0.007142857142857143
Strep_C10043,0.007142857142857143
Strep_C100440,0.007142857142857143
Strep_C100441,0.04285714285714286
Strep_C100442,0.007142857142857143
Strep_C100443,0.5655511210653131
Strep_C100444,0.007142857142857143
Strep_C100445,0.007142857142857143
Strep_C100446,0.007142857142857143
Strep_C100447,0.014285714285714285
Strep_C100448,0.05714285714285714
Strep_C100449,0.02142857142857143
Strep_C10044,0.014285714285714285
Strep_C100450,0.014285714285714285
Strep_C100451,0.007142857142857143
Strep_C100452,0.007142857142857143
Strep_C100453,0.007142857142857143
Strep_C100454,0.007142857142857143
Strep_C100455,0.014285714285714285
Strep_C100456,0.99999999
Strep_C100457,0.02857142857142857
Strep_C100458,0.007142857142857143
Strep_C100459,0.05
Strep_C10045,0.007142857142857143
Strep_C100460,0.007142857142857143
Strep_C100461,0.02142857142857143
Strep_C100462,0.02142857142857143
Strep_C100463,0.007142857142857143
Strep_C100464,0.014285714285714285
Strep_C100465,0.04285714285714286
Strep_C100466,0.007142857142857143
Strep_C100467,0.007142857142857143
Strep_C100468,0.007142857142857143
Strep_C100469,0.02142857142857143
Strep_C10046,0.11598279416323178
Strep_C100470,0.02142857142857143
Strep_C100471,0.014285714285714285
Strep_C100472,0.007142857142857143
Strep_C100473,0.007142857142857143
Strep_C100474,0.007142857142857143
Strep_C100475,0.07857142857142857
Strep_C100476,0.02857142857142857
Strep_C100477,0.02142857142857143
Strep_C100478,0.014285714285714285
Strep_C100479,0.014285714285714285
Strep_C10047,0.007142857142857143
Strep_C100480,0.007142857142857143
Strep_C100481,0.007142857142857143
Strep_C100482,0.007142857142857143
Strep_C100483,0.007142857142857143
Strep_C100484,0.007142857142857143
Strep_C100485,0.014285714285714285
Strep_C100486,0.007142857142857143
Strep_C100487,0.007142857142857143
Strep_C100488,0.16302252111471607
Strep_C100489,0.014285714285714285
Strep_C10048,0.007142857142857143
Strep_C100490,0.1
Strep_C100491,0.02142857142857143
Strep_C100492,0.007142857142857143
Strep_C100493,0.007142857142857143
Strep_C100494,0.007142857142857143
Strep_C100495,0.007142857142857143
Strep_C100496,0.007142857142857143
Strep_C100497,0.007142857142857143
Strep_C100498,0.12215142198741306
Strep_C100499,0.007142857142857143
Strep_C10049,0.07142857142857142
Strep_C1004,0.007142857142857143
