gene	product	strains_missing	missing_percentage
Strep_C11285	alpha/beta hydrolase	1	11.11111111111111
Strep_C1326	SpoIIE family protein phosphatase	1	11.11111111111111
Strep_C12443	carbohydrate ABC transporter permease	1	11.11111111111111
Strep_C22512	large conductance mechanosensitive channel protein MscL	1	11.11111111111111
Strep_C9371	ABC transporter permease	1	11.11111111111111
Strep_C21154	ribosome maturation factor RimP	1	11.11111111111111
Strep_C9515	LacI family DNA-binding transcriptional regulator	1	11.11111111111111
Strep_C7058	cytochrome P450	1	11.11111111111111
Strep_C18480	DJ-1/PfpI family protein	1	11.11111111111111
Strep_C8490	alpha/beta hydrolase family protein	1	11.11111111111111
Strep_C18334	DUF6758 family protein	1	11.11111111111111
Strep_C29237	putative ATP-grasp-modified RiPP	1	11.11111111111111
Strep_C24734	FHA domain-containing protein	1	11.11111111111111
Strep_C14010	molybdate ABC transporter substrate-binding protein	1	11.11111111111111
Strep_C11476	methionyl-tRNA formyltransferase	1	11.11111111111111
Strep_C23747	DnaJ family domain-containing protein	1	11.11111111111111
Strep_C13559	ABC transporter permease	1	11.11111111111111
Strep_C20348	DUF4365 domain-containing protein	1	11.11111111111111
Strep_C8145	Gfo/Idh/MocA family protein	1	11.11111111111111
Strep_C2877	MFS transporter	1	11.11111111111111
Strep_C22580	NUDIX domain-containing protein	1	11.11111111111111
Strep_C21508	DUF3291 domain-containing protein	1	11.11111111111111
Strep_C19696	transglutaminase domain-containing protein	1	11.11111111111111
Strep_C7714	ArsA family ATPase	1	11.11111111111111
Strep_C20487	YbaK/EbsC family protein	1	11.11111111111111
Strep_C26649	urease subunit beta	1	11.11111111111111
Strep_C5622	DUF2252 domain-containing protein	1	11.11111111111111
Strep_C19612	TetR-like C-terminal domain-containing protein	1	11.11111111111111
Strep_C20687	RNA polymerase sigma factor	1	11.11111111111111
Strep_C23141	Fur family transcriptional regulator	1	11.11111111111111
Strep_C14706	VOC family protein	1	11.11111111111111
Strep_C19485	ClpP family protease	1	11.11111111111111
Strep_C1252	glycoside hydrolase family 2 protein	1	11.11111111111111
Strep_C12283	carbohydrate ABC transporter permease	1	11.11111111111111
Strep_C15537	SDR family oxidoreductase	1	11.11111111111111
Strep_C15505	IclR family transcriptional regulator	1	11.11111111111111
Strep_C16517	ZIP family metal transporter	1	11.11111111111111
Strep_C26522	hypothetical protein	1	11.11111111111111
Strep_C9231	energy-coupling factor ABC transporter permease	1	11.11111111111111
Strep_C7315	DUF4350 domain-containing protein	1	11.11111111111111
Strep_C16930	hypothetical protein	1	11.11111111111111
Strep_C2947	L-arabinonate dehydratase	1	11.11111111111111
Strep_C21428	mycothiol transferase	1	11.11111111111111
Strep_C17725	hypothetical protein	1	11.11111111111111
Strep_C6718	FAD-dependent monooxygenase	1	11.11111111111111
Strep_C13403	sugar phosphate isomerase/epimerase family protein	1	11.11111111111111
Strep_C2067	cytochrome c biogenesis protein ResB	1	11.11111111111111
Strep_C19091	TetR/AcrR family transcriptional regulator	1	11.11111111111111
Strep_C11133	PDR/VanB family oxidoreductase	1	11.11111111111111
Strep_C29833	hypothetical protein	1	11.11111111111111
Strep_C5814	GAF domain-containing protein	1	11.11111111111111
Strep_C7530	glycosyltransferase	1	11.11111111111111
Strep_C24244	organic hydroperoxide resistance protein	1	11.11111111111111
Strep_C2660	S1C family serine protease	1	11.11111111111111
Strep_C21078	NUDIX domain-containing protein	1	11.11111111111111
Strep_C18718	DedA family protein	1	11.11111111111111
Strep_C3823	amino acid permease	1	11.11111111111111
Strep_C11443	NAD(P)-dependent oxidoreductase	1	11.11111111111111
Strep_C17006	GntR family transcriptional regulator	1	11.11111111111111
