,estimated_frequency
Strep_C10279,0.23305302815717163
Strep_C1027,0.1163415109155265
Strep_C10280,0.6665403377533278
Strep_C10281,0.7778659244097796
Strep_C10282,0.2337017810381666
Strep_C10283,0.35245843672205746
Strep_C10284,0.23370228693111114
Strep_C10285,0.99999999
Strep_C10286,0.8889131171654778
Strep_C10287,0.47127620612957083
Strep_C10288,0.11634201451864289
Strep_C10289,0.47311830745470035
Strep_C1028,0.23370228693111114
Strep_C10290,0.23370178103816636
Strep_C10291,0.7256406595528874
Strep_C10292,0.99999999
Strep_C10293,0.35245843672205746
Strep_C10294,0.35132537846575046
Strep_C10295,0.1163415109155265
Strep_C10296,0.5967214293920762
Strep_C10297,0.1163415109155265
Strep_C10298,0.1163415109155265
Strep_C10299,0.1163415109155265
Strep_C1029,0.11634201451864289
Strep_C102,0.11634201451864289
Strep_C10300,0.3524582818100281
Strep_C10301,0.99999999
Strep_C10302,0.99999999
Strep_C10303,0.11634201451864289
Strep_C10304,0.7256406595528874
Strep_C10305,0.47311830745470035
Strep_C10306,0.99999999
Strep_C10307,0.11634201451864289
Strep_C10308,0.2337017810381666
Strep_C10309,0.11634201451864289
Strep_C1030,0.11136757272179186
Strep_C10310,0.2337017810381666
Strep_C10311,0.11634201451864289
Strep_C10312,0.47311651524910325
Strep_C10313,0.47311651524910325
Strep_C10314,0.2337017810381666
Strep_C10315,0.99999999
Strep_C10316,0.23370228693111114
Strep_C10317,0.11634201451864289
Strep_C10318,0.11634201451864289
Strep_C10319,0.11634201451864289
Strep_C1031,0.11634201451864289
Strep_C10320,0.11634201451864289
Strep_C10321,0.11136757272179186
Strep_C10322,0.11136757272179186
Strep_C10323,0.11136757272179186
Strep_C10324,0.11136757272179186
Strep_C10325,0.99999999
Strep_C10326,0.11136757272179186
Strep_C10327,0.11136757272179186
Strep_C10328,0.11136757272179186
Strep_C10329,0.23305302815717163
Strep_C1032,0.3524582818100281
Strep_C10330,0.351325490499599
Strep_C10331,0.23305302815717163
Strep_C10332,0.7198634438443039
Strep_C10333,0.351325490499599
Strep_C10334,0.23305302815717163
Strep_C10335,0.23305302815717163
Strep_C10336,0.333266628208235
Strep_C10337,0.1160600458814914
Strep_C10338,0.7256406595528874
Strep_C10339,0.11634201451864289
Strep_C1033,0.11634201451864289
Strep_C10340,0.5936452796634148
Strep_C10341,0.11634201451864289
Strep_C10342,0.99999999
Strep_C10343,0.47311651524910325
Strep_C10344,0.11634201451864289
Strep_C10345,0.47311830745470035
Strep_C10346,0.11634201451864289
Strep_C10347,0.35245843672205746
Strep_C10348,0.11634201451864289
Strep_C10349,0.47311830745470035
Strep_C1034,0.1163415109155265
Strep_C10350,0.1163415109155265
Strep_C10351,0.1163415109155265
Strep_C10352,0.1163415109155265
Strep_C10353,0.1163415109155265
Strep_C10354,0.1163415109155265
Strep_C10355,0.1163415109155265
Strep_C10356,0.1163415109155265
Strep_C10357,0.1163415109155265
Strep_C10358,0.99999999
Strep_C10359,0.1163415109155265
Strep_C1035,0.11634201451864289
Strep_C10360,0.35132537846575046
Strep_C10361,0.7256406595528874
Strep_C10362,0.99999999
Strep_C10363,0.35245843672205746
Strep_C10364,0.11634201451864289
Strep_C10365,0.11634201451864289
Strep_C10366,0.11634201451864289
Strep_C10367,0.35245843672205746
Strep_C10368,0.5967214293920762
Strep_C10369,0.99999999
Strep_C1036,0.8524331858472348
Strep_C10370,0.7198643407720242
Strep_C10371,0.35245843672205746
Strep_C10372,0.11634201451864289
Strep_C10373,0.23370178103816636
Strep_C10374,0.2337017810381666
Strep_C10375,0.11634201451864289
Strep_C10376,0.47311651524910325
Strep_C10377,0.11634201451864289
Strep_C10378,0.11634201451864289
Strep_C10379,0.99999999
Strep_C1037,0.11634201451864289
Strep_C10380,0.5967214293920762
Strep_C10381,0.11634201451864289
Strep_C10382,0.99999999
Strep_C10383,0.8889131171654778
Strep_C10384,0.11136757272179186
Strep_C10385,0.5555542629982061
Strep_C10386,0.11136757272179186
Strep_C10387,0.11136757272179186
Strep_C10388,0.11136757272179186
Strep_C10389,0.99999999
Strep_C1038,0.23370228693111114
Strep_C10390,0.23305302815717163
Strep_C10391,0.23305302815717163
Strep_C10392,0.23305302815717163
Strep_C10393,0.23305302815717163
Strep_C10394,0.23305302815717163
Strep_C10395,0.23305302815717163
Strep_C10396,0.23305302815717163
Strep_C10397,0.1160600458814914
Strep_C10398,0.351325490499599
Strep_C10399,0.1160600458814914
Strep_C1039,0.11634201451864289
Strep_C103,0.2337017810381666
Strep_C10400,0.2337017810381666
Strep_C10401,0.99999999
Strep_C10402,0.11634201451864289
Strep_C10403,0.11634201451864289
Strep_C10404,0.5967242474384321
Strep_C10405,0.2337017810381666
Strep_C10406,0.11634201451864289
Strep_C10407,0.11634201451864289
Strep_C10408,0.11634201451864289
Strep_C10409,0.11634201451864289
Strep_C1040,0.1163415109155265
Strep_C10410,0.11634201451864289
Strep_C10411,0.2337017810381666
Strep_C10412,0.35245843672205746
Strep_C10413,0.11634201451864289
